Sat Sep 12 12:30:51 2020 Fold 0, Epoch 84, lr: 0.0000213, train loss: 0.23552, valid loss: 0.38315, Acc: 84.8726, AUC: 0.880229.
Sat Sep 12 12:35:47 2020 Fold 0, Epoch 85, lr: 0.0000189, train loss: 0.25307, valid loss: 0.38183, Acc: 85.1911, AUC: 0.879767.
Sat Sep 12 12:40:42 2020 Fold 0, Epoch 86, lr: 0.0000167, train loss: 0.25146, valid loss: 0.36702, Acc: 84.7134, AUC: 0.880500.
Sat Sep 12 12:45:37 2020 Fold 0, Epoch 87, lr: 0.0000146, train loss: 0.23993, valid loss: 0.39109, Acc: 85.3503, AUC: 0.875068.
Sat Sep 12 12:50:33 2020 Fold 0, Epoch 88, lr: 0.0000126, train loss: 0.25952, valid loss: 0.37523, Acc: 85.8280, AUC: 0.882687.
Sat Sep 12 12:55:29 2020 Fold 0, Epoch 89, lr: 0.0000107, train loss: 0.23860, valid loss: 0.38688, Acc: 84.7134, AUC: 0.880582.
Sat Sep 12 13:00:25 2020 Fold 0, Epoch 90, lr: 0.0000090, train loss: 0.24422, valid loss: 0.38481, Acc: 85.6688, AUC: 0.880935.
Sat Sep 12 13:05:20 2020 Fold 0, Epoch 91, lr: 0.0000075, train loss: 0.23722, valid loss: 0.38563, Acc: 85.6688, AUC: 0.881207.
Sat Sep 12 13:10:15 2020 Fold 0, Epoch 92, lr: 0.0000061, train loss: 0.25424, valid loss: 0.38900, Acc: 85.8280, AUC: 0.879699.
Sat Sep 12 13:15:10 2020 Fold 0, Epoch 93, lr: 0.0000048, train loss: 0.24246, valid loss: 0.38015, Acc: 85.6688, AUC: 0.882592.
Sat Sep 12 13:20:05 2020 Fold 0, Epoch 94, lr: 0.0000037, train loss: 0.25032, valid loss: 0.38065, Acc: 85.8280, AUC: 0.880188.
Sat Sep 12 13:25:00 2020 Fold 0, Epoch 95, lr: 0.0000027, train loss: 0.24875, valid loss: 0.38561, Acc: 85.8280, AUC: 0.878409.
Sat Sep 12 13:29:56 2020 Fold 0, Epoch 96, lr: 0.0000019, train loss: 0.24412, valid loss: 0.36644, Acc: 85.5096, AUC: 0.882347.
Sat Sep 12 13:34:51 2020 Fold 0, Epoch 97, lr: 0.0000012, train loss: 0.24785, valid loss: 0.37511, Acc: 85.6688, AUC: 0.881804.
Sat Sep 12 13:39:46 2020 Fold 0, Epoch 98, lr: 0.0000007, train loss: 0.25146, valid loss: 0.37011, Acc: 86.6242, AUC: 0.883515.
Sat Sep 12 13:44:41 2020 Fold 0, Epoch 99, lr: 0.0000003, train loss: 0.24124, valid loss: 0.38299, Acc: 85.3503, AUC: 0.881329.
Sat Sep 12 13:49:37 2020 Fold 0, Epoch 100, lr: 0.0000001, train loss: 0.24526, valid loss: 0.37410, Acc: 85.8280, AUC: 0.876643.
Sat Sep 12 13:54:33 2020 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.51198, valid loss: 0.53977, Acc: 75.1572, AUC: 0.752551.
