Fri Sep 11 05:51:26 2020 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.30815, valid loss: 0.45619, acc: 84.7484, auc: 0.839009, auc_no_ext: 0.839009.
Fri Sep 11 05:54:28 2020 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.30524, valid loss: 0.42064, acc: 85.6918, auc: 0.847369, auc_no_ext: 0.847369.
Fri Sep 11 05:57:31 2020 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.31092, valid loss: 0.43430, acc: 85.0629, auc: 0.843162, auc_no_ext: 0.843162.
Fri Sep 11 06:00:34 2020 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.29439, valid loss: 0.44453, acc: 84.9057, auc: 0.847182, auc_no_ext: 0.847182.
Fri Sep 11 06:03:37 2020 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.28613, valid loss: 0.44624, acc: 85.2201, auc: 0.845166, auc_no_ext: 0.845166.
Fri Sep 11 06:06:39 2020 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.28678, valid loss: 0.43619, acc: 85.6918, auc: 0.850334, auc_no_ext: 0.850334.
Fri Sep 11 06:09:42 2020 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.28028, valid loss: 0.42955, acc: 85.3774, auc: 0.850414, auc_no_ext: 0.850414.
Fri Sep 11 06:12:45 2020 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.27276, valid loss: 0.42691, acc: 85.0629, auc: 0.851215, auc_no_ext: 0.851215.
Fri Sep 11 06:15:47 2020 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.25822, valid loss: 0.44873, acc: 85.5346, auc: 0.850868, auc_no_ext: 0.850868.
Fri Sep 11 06:18:50 2020 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.26587, valid loss: 0.45744, acc: 85.5346, auc: 0.850694, auc_no_ext: 0.850694.
Fri Sep 11 06:21:53 2020 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.26793, valid loss: 0.43308, acc: 85.8491, auc: 0.851242, auc_no_ext: 0.851242.
Fri Sep 11 06:24:56 2020 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.25590, valid loss: 0.44253, acc: 85.6918, auc: 0.852350, auc_no_ext: 0.852350.
Fri Sep 11 06:27:59 2020 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.54741, valid loss: 0.52764, acc: 76.5723, auc: 0.639012, auc_no_ext: 0.639012.
Fri Sep 11 06:31:01 2020 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.49858, valid loss: 0.48184, acc: 80.9748, auc: 0.750111, auc_no_ext: 0.750111.
Fri Sep 11 06:34:04 2020 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.46793, valid loss: 0.46897, acc: 78.9308, auc: 0.765341, auc_no_ext: 0.765341.
